antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'22720'}),frozenset({'22722'}),0.0663921253515468,0.04479710727199679,0.020490156689433506,0.3086232980332829,6.88935774712862,1.0,0.017515981528044407,1.381595431276171,0.9156398654136211,0.22591362126245845,0.27619911201044844,0.3830112005861481
frozenset({'22726'}),frozenset({'22727'}),0.03495379670550422,0.04580152671755725,0.022800321414222578,0.6522988505747126,14.241858237547891,1.0,0.02119938416053536,2.744306352911488,0.9634610658518782,0.3934142114384749,0.6356091954022988,0.5750529340592861
frozenset({'22727'}),frozenset({'22726'}),0.04580152671755725,0.03495379670550422,0.022800321414222578,0.49780701754385964,14.241858237547891,1.0,0.02119938416053536,1.9216640554685154,0.9744140969162994,0.3934142114384749,0.47961767971135166,0.5750529340592861
frozenset({'85123A'}),frozenset({'22804'}),0.12746082764162314,0.02812374447569305,0.021193250301325833,0.16627265563435775,5.9121805696273775,1.0,0.01760857455407247,1.1657003480721602,0.9522296485951389,0.1576980568011958,0.1421466059834297,0.45992204210289317
frozenset({'22804'}),frozenset({'85123A'}),0.02812374447569305,0.12746082764162314,0.021193250301325833,0.7535714285714286,5.912180569627378,1.0,0.01760857455407247,3.54073867043979,0.8549006776918119,0.1576980568011958,0.7175730566199082,0.45992204210289317
frozenset({'22961'}),frozenset({'22960'}),0.0547408597830454,0.05805544395339494,0.021494576134993972,0.39266055045871556,6.76354401447573,1.0,0.01831657121789873,1.550935900439274,0.9014972536612058,0.2354235423542354,0.3552280273370625,0.38145138249579374
frozenset({'22960'}),frozenset({'22961'}),0.05805544395339494,0.0547408597830454,0.021494576134993972,0.3702422145328719,6.7635440144757295,1.0,0.01831657121789873,1.500988414959889,0.9046695088724257,0.2354235423542354,0.333772339590827,0.38145138249579374
frozenset({'85123A'}),frozenset({'47566'}),0.12746082764162314,0.09592205705102451,0.02099236641221374,0.16469661150512213,1.716983732089001,1.0,0.008766061631403164,1.0823348203794811,0.47858401406049744,0.10372208436724566,0.07607148807299144,0.19177238952219455
frozenset({'47566'}),frozenset({'85123A'}),0.09592205705102451,0.12746082764162314,0.02099236641221374,0.218848167539267,1.716983732089001,1.0,0.008766061631403164,1.1169904954453753,0.4618886046154362,0.10372208436724566,0.10473723449072664,0.19177238952219455
frozenset({'82494L'}),frozenset({'82482'}),0.042486942547207716,0.05333467255926075,0.025010044194455603,0.5886524822695035,11.036956899199957,1.0,0.022744017025656156,2.301376054640418,0.949747168681018,0.353191489361702,0.5654773595199127,0.5287895179709099
frozenset({'82482'}),frozenset({'82494L'}),0.05333467255926075,0.042486942547207716,0.025010044194455603,0.46892655367231634,11.036956899199955,1.0,0.022744017025656156,1.8029767145653641,0.9606302131603336,0.353191489361702,0.4453616666696299,0.5287895179709099
frozenset({'85123A'}),frozenset({'82482'}),0.12746082764162314,0.05333467255926075,0.02109280835676979,0.16548463356973997,3.1027589676465746,1.0,0.014294726850371448,1.1343893300493846,0.776705750793468,0.13207547169811323,0.11846843626740913,0.2804824297792203
frozenset({'82482'}),frozenset({'85123A'}),0.05333467255926075,0.12746082764162314,0.02109280835676979,0.3954802259887006,3.1027589676465746,1.0,0.014294726850371448,1.4433591916582496,0.7158878363016294,0.13207547169811323,0.30717176585052414,0.2804824297792203
frozenset({'85099B'}),frozenset({'85099C'}),0.08547609481719566,0.038368822820409806,0.021996785857774207,0.2573443008225617,6.707120049710534,1.0,0.01871716872035268,1.2948546388921383,0.9304346299765044,0.21597633136094674,0.2277125401075229,0.41532136507096673
frozenset({'85099C'}),frozenset({'85099B'}),0.038368822820409806,0.08547609481719566,0.021996785857774207,0.5732984293193717,6.707120049710534,1.0,0.01871716872035268,2.1432400722689033,0.8848555782260364,0.21597633136094674,0.5334167119498808,0.41532136507096673
frozenset({'85099B'}),frozenset({'85099F'}),0.08547609481719566,0.03997589393330655,0.02460827641623142,0.2878965922444183,7.201754955742284,1.0,0.02119129311598595,1.3481526637999275,0.9416319806340987,0.24402390438247015,0.2582442427689296,0.4517372408458273
frozenset({'85099F'}),frozenset({'85099B'}),0.03997589393330655,0.08547609481719566,0.02460827641623142,0.6155778894472362,7.201754955742285,1.0,0.02119129311598595,2.378957609560498,0.8970034718218738,0.24402390438247015,0.5796478272747594,0.4517372408458273
"frozenset({'22699', '22697'})",frozenset({'22698'}),0.03435114503816794,0.03284451586982724,0.023603856970670953,0.6871345029239766,20.920829085966698,1.0,0.02247561024231811,3.0912820146964397,0.986073500967118,0.5414746543778801,0.6765096179365574,0.7028944685873706
"frozenset({'22699', '22698'})",frozenset({'22697'}),0.025813579750903978,0.043290478103656084,0.023603856970670953,0.914396887159533,21.12235593633483,1.0,0.022486374761687463,11.176106687607287,0.9778998931673147,0.5187637969094924,0.9105234024735235,0.7298202533245461
"frozenset({'22697', '22698'})",frozenset({'22699'}),0.027320208919244676,0.04911611088790679,0.023603856970670953,0.8639705882352942,17.590370504029835,1.0,0.02226199455991255,6.990281563202417,0.9696415231968503,0.446768060836502,0.8569442459565426,0.6722715926861542
frozenset({'22699'}),"frozenset({'22697', '22698'})",0.04911611088790679,0.027320208919244676,0.023603856970670953,0.48057259713701433,17.590370504029835,1.0,0.02226199455991255,1.872600070230273,0.9918673825539557,0.446768060836502,0.46598314509460087,0.6722715926861542
frozenset({'22697'}),"frozenset({'22699', '22698'})",0.043290478103656084,0.025813579750903978,0.023603856970670953,0.5452436194895592,21.12235593633483,1.0,0.022486374761687463,2.1422160567722472,0.9957638912157255,0.5187637969094924,0.5331936772490001,0.7298202533245461
frozenset({'22698'}),"frozenset({'22699', '22697'})",0.03284451586982724,0.03435114503816794,0.023603856970670953,0.7186544342507645,20.920829085966698,1.0,0.02247561024231811,3.432251908396946,0.9845374014225644,0.5414746543778801,0.7086460939671948,0.7028944685873706
